"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g__Ignatzschineria","no_IgA",1.06838533659356,0.0513389363016949,0.155719259144647,0.329689060837403,0.741634920221195,0.998644113602911
"g__Stenotrophomonas","no_IgA",4.41077893097503,-0.0476098864594779,0.0797673907779543,-0.59685901713907,0.550601511337067,0.978196302056278
"g__Brachyspira","no_IgA",2.14887415672436,0.136883892300414,0.108226922402581,1.26478596324891,0.205948064505805,0.513480988585886
"g__Anaeroplasma","no_IgA",11.9472404657832,-1.45032467095433,0.208150835954126,-6.96766200484518,3.2225127595275e-12,1.00509587291476e-10
"g__Mycoplasma","no_IgA",3.07815259135618,-0.744227257704063,0.168159268177569,-4.42572845237523,9.61173734756771e-06,8.7549086055108e-05
"k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39_f___g__","no_IgA",59.260252473447,0.497400257864283,0.140376014305649,3.54334221786111,0.000395089648547092,0.0021283861712053
"k__Bacteria_p__TM7_c__TM7-3_o__CW040_f__F16_g__","no_IgA",6.56047760770537,-0.0550268229089939,0.119105790303649,-0.461999561639346,0.64408163480544,0.998644113602911
"g__Akkermansia","no_IgA",124.453008408888,-1.96988935687364,0.273090808614051,-7.2133125492979,5.46068784288944e-13,2.27983717440634e-11
"g__Deinococcus1","obese",2.18970590094069,0.136318012495758,0.0982656812115879,1.38723927636786,0.165368812602597,0.348824839083602
"g__Thermus1","obese",4.36887552712745,0.151671721773913,0.104549778579815,1.45071298891489,0.146859797080136,0.319775364609974
"g__Actinomyces1","obese",2.02860440997508,0.0282446562093297,0.101347630121861,0.278690840381449,0.780482092447607,0.985651765355077
"g__Brevibacterium1","obese",2.09822032620335,-0.104712983004941,0.100950848796976,-1.03726698935965,0.299611445671414,0.534511117798904
"g__Corynebacterium1","obese",6.40616674849569,-0.458464138124775,0.0965406295174247,-4.74892426552933,2.04501500471576e-06,1.25489557107558e-05
"g__Leucobacter1","obese",2.0261847627841,-0.0176087630188975,0.101608930177428,-0.17329936441757,0.862416123255161,0.985651765355077
"g__Micrococcus1","obese",2.03582294032015,0.039989746377562,0.101194142342549,0.395178470332739,0.692711180508949,0.985651765355077
"g__Rothia1","obese",2.02621151773854,0.0103545372458961,0.10147209620789,0.102043198404834,0.918722386653687,0.985651765355077
"g__Mycobacterium1","obese",5.1279849024888,0.0262307467444025,0.0640116632306071,0.409780740267663,0.681966795671353,0.985651765355077
"g__Bifidobacterium1","obese",74.8253091905176,0.355805757315309,0.164983791468311,2.15661038062426,0.0310360350324846,0.0931081050974538
"k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__1","obese",105.530559411514,1.1609808225445,0.191165635485496,6.07316696641633,1.25411937418273e-09,8.91084818498252e-09
"g__Adlercreutzia1","obese",24.4623672698713,-0.168580173939366,0.0710154153774514,-2.37385324078373,0.0176035457855013,0.0579628946595774
"k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f___g__1","obese",296.152161975671,-0.0761836517324777,0.223492604133571,-0.340877730732183,0.733195630155564,0.985651765355077
"g__Odoribacter1","obese",177.460696631926,0.30988182911322,0.19021276377457,1.6291326773448,0.103284934942813,0.248990468165711
"g__Bacteroides1","obese",2017.01231295768,-0.918101458365101,0.132559010760338,-6.92598302521279,4.32958380398379e-12,3.65308633461132e-11
"g__Parabacteroides1","obese",751.06079581928,-0.535560173727243,0.16329453870045,-3.27971883193032,0.00103910588810963,0.00438372796546249
"g__Prevotella1","obese",942.632088908454,-6.47677247233456,0.20909652761327,-30.9750360097493,1.16932788283444e-210,1.5785926418265e-208
"k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g__1","obese",709.738936039101,-0.538196842297631,0.146702539040398,-3.66862663603542,0.000243856898238147,0.00113519590559138
"g__AF121","obese",161.281555144305,0.244317811134873,0.204538306895201,1.19448437235795,0.232288550207773,0.457122816603145
"g__Alistipes1","obese",2.49521119935249,-0.00269568335890763,0.0931979094159942,-0.0289242899953399,0.976924973109267,0.985651765355077
